Name,AddressDetails,Latitude,Longitude
Boisdale of Canary Wharf,"Cabot Place, London",51.5052016,-0.0220318
Boulevard Brasserie,"40 Wellington Street, London",51.5124973,-0.1208694
Breakspear Arms,"Breakspear Road South, Uxbridge",51.5802165,-0.4480362
Brewers Fayre Rising Sun,"2 Ascot Road, Herts, Watford",51.6516419,-0.4240961
Brewers Fayre Royal Forest,"Rangers Road, Chingford",51.634317,0.016799
Brook Green Hotel,"170 Shepherds Bush Road, London",51.4972637,-0.2229749
C??te Brasserie,"83-84 Hampstead High Street, London",51.5554528,-0.1760998
Callooh Callay,"65 Rivington St, London",51.5262938,-0.0799016
Carnaby Zebrano,"14-16 Ganton Street, London",51.513064,-0.1390998
Carpenters Arms,"Middlesex House, 1370, 800 Uxbridge Road, Hayes",51.5265894,-0.4377992
Cart & Horses,"1 Maryland Point, London",51.5458798,0.0043845
Catcher in the Rye,"317 Regents Park Road, London",51.5995853,-0.1960031
Century,"454 Romford Road, Stratford Newham, London",51.5474359,0.0356024
Chamberlain Hotel London,"130-135 Minories, London",51.5122492,-0.0757285
Champers Bar,"184 Field End Road, Eastcote",51.577503,-0.3986046
Charlotte's Bistro,"6 Turnham Green Terrace, London",51.4931449,-0.2552049
Chinese Overseas Restaurant & Take Away,"411 High Street, London",51.5397152,0.0003819
Circle Lounge,"12-13 Station Parade, Kenton Lane, Harrow",51.6008541,-0.3195515
Clayton Crown Hotel,"152 Cricklewood Broadway, London",51.5561548,-0.2141824
Clayton Hotel Chiswick,"626 Chiswick High Road, London",51.492379,-0.278445
Coach & Horses Hotel,"8 Kew Green, Richmond",51.4832509,-0.2864098
Cock Inn,"Cock Green, Harlow",51.7578477,0.0780177
Cock Tavern,"218 High Street, Chipping Ongar, Ongar",51.7055535,0.245562
Comedor Grill and Bar,"176 Upper Street, London",51.5415742,-0.1030688
COMO Metropolitan London,"19 Old Park Lane, London",51.5050032,-0.1500183
COMO The Halkin London,"5-6 Halkin Street, London",51.500815,-0.152091
Core Bar,"Aldermary House, 10-15 Queen Street, London",51.5128534,-0.0927897
Courthouse Hotel,"19 - 21 Great Marlborough Street, London",51.5143566,-0.1394682
Cricketers,"299-301 High Road, Woodford Green",51.6018644,0.0190444
Dalla Terra,"Saint Martins Courtyard, 25 Slingsby Place, London",51.512792,-0.126342
Dalston Superstore,"117 Kingsland High Street, London",51.5500926,-0.0753875
Dama de Elche,"7 Cambridge Park, London",51.5754344,0.0272458
Diamonds & Strings Strip Club & Bar,"9 Market Street, Watford",51.6551913,-0.397279
Drapers Bar & Kitchen,"Mile End, 17 Godward square, London",51.523052,-0.0425141
Duke of Wellington,"Wellington Hill, High Beech, Loughton",51.6670457,0.0338066
Duke Of Wellington,"36 High Street, Town Centre, Epping",51.696339,0.1073373
Dukes Head Inn,"42 The Vineyard, Richmond",51.4585477,-0.2995954
Earl Haig,"286 Bath Road, Hounslow",51.472672,-0.3860441
Eat 17,"28-30 Orford Road, London",51.5825519,-0.0131045
Epping Upper Clapton Rugby Football Club,"Upland Road, Epping",51.724985,0.121751
ERIKI,"Crowne Plaza London, Stockley Road, West Drayton",51.4993509,-0.4541891
Essenza Ristorante italiano,"210 Kensington Park Road, London",51.5162119,-0.2061365
Every Hotel Piccadilly,"Coventry Street, London",51.5102137,-0.1315736
Fiskardo Restaurant,"Fairlop Waters, Forest Road, Ilford",51.594918,0.098063
Forest Gate,Epping,51.6902373,0.0975186
Forester,"2 Leighton Road, London",51.506086,-0.320489
Foresters Arms,"15 Baldwin's Hill, Loughton",51.6592508,0.0625221
Forge,"24 Cornhill, London",51.5131559,-0.0871084
Forman's,"Stour Road, London",51.539221,-0.021498
Four Seasons,"84 Queensway, London",51.5129426,-0.1874419
Four Seasons Hotel London at Park Lane,"Hamilton Place, Park Lane, London",51.504439,-0.149911
Franco Manca,"144 Chiswick High Road, London",51.492929,-0.253664
Funky Brownz,"63-65 Hyde Estate Road, London",51.583466,-0.2471996
George's Fish & Souvlaki Bar,"164 George Lane, London",51.593791,0.0248311
Goodenough Club,"23 Mecklenburgh Square, London",51.5254073,-0.1176524
Goodman,"11 Old Jewry, London",51.5143491,-0.0905123
Goodman,"3 South Quay Square, London",51.5013144,-0.0182645
Grange Blooms Hotel,"7 Montague Street, London",51.5201759,-0.1260993
Grange Holborn Hotel,"50 - 60 Southampton Row, London",51.519271,-0.121119
Grange Langham Court Hotel,"31-35 Langham Street, London",51.519181,-0.1412305
Grange Strathmore Hotel,"41 Queen's Gate Gardens, London",51.4958184,-0.1813958
Grange Tower Bridge Hotel,"45 Prescot Street, London",51.5115992,-0.0719368
Grange White Hall Hotel,"2-5 Montague Street, London",51.519944,-0.1259094
Grove Hill Hotel,"38 Grove Hill, London",51.593949,0.018011
Hawksmoor Spitalfields,"157A Commercial Street, London",51.5214383,-0.0758446
High Road House,"162-166 Chiswick High Road, London",51.4928963,-0.2547651
Hilton London Metropole,"225 Edgware Road, London",51.5193866,-0.1696349
Holiday Inn London - Heathrow Ariel,"118 Bath Road, Harlington, Hayes",51.4812169,-0.4333474
Holiday Inn London - Heathrow M4 Jct.4,"Sipson Road, Sipson, West Drayton",51.4945112,-0.4558786
Holiday Inn London - Kensington Forum,"97 Cromwell Road, London",51.494236,-0.185217
Holiday Inn London - Regent's Park,"Carburton Street, London",51.5225205,-0.142789
Holiday Inn London Bloomsbury,"Coram Street, London",51.5239645,-0.1249877
Holiday Inn London Brent Cross,"Tilling Road, London",51.5730318,-0.2225228
Holiday Inn London Mayfair,"3 Berkeley Street, London",51.507658,-0.142449
Hotel ibis London Blackfriars,"49 Blackfriars Road, London",51.5049391,-0.1048154
Hotel ibis London City,"5 Commercial Street, London",51.5156703,-0.07245
Hotel ibis London Euston St Pancras,"3 Cardington Street, London",51.5278598,-0.1358005
Hotel Novotel London Paddington,"3 Kingdom Street, London",51.519032,-0.1825943
Hudson Bay,"1-5 Upton Lane, London",51.54581,0.0260231
Innkeeper's Lodge Hornchurch,"Station Lane, Hornchurch",51.5547091,0.2190875
Iroha,"31 Vivian Avenue, London, Hendon",51.5824642,-0.229157
Itsu,"100 Notting Hill Gate, London",51.5090401,-0.1976909
Jackson's,"78-80 Northfield Avenue, London",51.5035426,-0.3178683
Kanaloa,"18, Hill House, Wine Office Court, Shoe Lane, Chancery Lane, London",51.5153044,-0.1064193
Kew Gardens Hotel,"292 Sandycombe Road, Richmond",51.476052,-0.286915
King Edward VII,"47 Broadway, London",51.5411416,0.0028814
King Of Kings,"443-445 Barking Road, London",51.5335472,0.057239
King Solomon Hotel,"155-159 Golders Green Road, London",51.5753331,-0.2039254
King's Oak Hotel,"Paul's Nursery Rd, Loughton",51.6642738,0.0399808
Kona Kai,"515 Fulham Road, London",51.480161,-0.1923177
Kosho,"72-74 South Street, Romford",51.5763768,0.1820333
Kosmopol,"138 Fulham Road, London",51.487304,-0.1789609
La Face,"169-171 Fore Street, London",51.6139555,-0.0646984
La Trompette,"5-7 Devonshire Road, Chiswick",51.4919007,-0.2560149
Launceston Place,"1A Launceston Place, London",51.4991854,-0.1853583
Lizard Lounge,"186-188 George Lane, London",51.5945744,0.0239405
Lomito Northwood,"41 Green Lane, Northwood",51.6118655,-0.4252244
London Marriott Hotel Twickenham,"198 Whitton Road, Twickenham",51.4551308,-0.3398592
London Marriott Hotel West India Quay,"22 Hertsmere Road, London",51.5073197,-0.0209147
Luxe Essex,"126 High Road, Loughton, Essex",51.6454755,0.0529591
Mabel's Bar & Kitchen,"30 Maiden Lane, London",51.5106852,-0.1234406
Made Bar and Kitchen,"Roundhouse, Chalk Farm Road, London",51.5434573,-0.1520464
Maggie Jones's,"6 Old Court Place, London",51.5028316,-0.1910066
Mahiki,"1 Dover Street, London",51.5077555,-0.1413888
Malmaison London,"18-21 Charterhouse Square, London",51.5207767,-0.1004613
Mamma mia cucina,"92 Station Road, London",51.6329536,0.0078628
Mandarin Bar,"66 Knightsbridge, London",51.502153,-0.159723
Mango Indian,"Cromwell Building, 6 Redcross Way, London",51.504962,-0.092942
Mantra,"253 Bath Rd, Hounslow, L12:00AMondon",51.4710146,-0.3800984
Master Robert Hotel,"366 Great West Road, Hounslow, London",51.4781864,-0.3728619
Matchbox,"Danco Shoes, 134-135 Shoreditch High Street, London",51.5264976,-0.0782909
ME London,"336-337 Strand, London",51.5120219,-0.1183297
Mecca Bingo,"Dagenham Leisure Park, Cook Road, Dagenham",51.5321389,0.137206
Middlesex Arms,"Long Drive, Ruislip",51.5572958,-0.3974502
Miller & Carter Chigwell,"Manor Road, Abridge, Romford",51.6289895,0.1338605
Miller & Carter Newbury Park,"Aldborough Road North, Ilford",51.585388,0.1026512
Mirage,"740 Eastern Avenue, Ilford",51.5732755,0.084
Monkhams,"Buckhurst Way, Buckhurst Hill",51.618135,0.045417
Moore Spice (1966) Indian Restaurants Wembley,"2, Wembley Retail Park, Engineers Way, Wembley",51.559544,-0.277943
Mooro's,"Woolston Hall, Abridge Road, Chigwell",51.6417315,0.0939457
Myllet Arms - Fayre & Square,"Myllet Arms, Western Avenue, Perivale, Greenford",51.5329916,-0.3231047
Namaste Lounge,"66 Joel Street, Northwood",51.600334,-0.410086
New Globe Hotel,"359 Mile End Road, London",51.5244954,-0.0367991
Nordic Bar,"25 Newman Street, London",51.51787,-0.1357191
Old Oak Tree Inn,"1 The Common, Southall",51.4951506,-0.3879964
One The Avenue,"1C The Avenue, London",51.6086284,0.0001795
O'Neill's,"Oceanair House, 762 High Road Leytonstone, London",51.570559,0.0152271
Osteria Basilico,"29 Kensington Park Road, London",51.5153672,-0.2058448
Palmers Lodge Hillspring,"233 Willesden Lane, London",51.5457922,-0.2191016
Palmers Lodge Swiss Cottage,"40 College Crescent, London",51.5454981,-0.1760786
Pierino Pizza Pasta,"37 Thurloe Place, London",51.4951075,-0.1740177
Plateau,"4th Floor, Canada Square, London",51.5047048,-0.016623
Plough,"Sewardstone Road, Waltham Abbey",51.6667331,0.0009701
Plough and Harrow,"419 High Road Leytonstone, London",51.5570933,0.006123
Portobello House,"225 Ladbroke Grove, London",51.5199886,-0.2117322
Portobello Star,"171 Portobello Road, London",51.5147822,-0.2045484
Proud Cabaret,"1 Mark Lane, London",51.5112667,-0.0803352
Proud Camden,"The Horse Hospital, The Stables Market, Chalk Farm Road, London",51.5427034,-0.1490838
Pub On The Park,"19 Martello Street, London",51.5420615,-0.0581981
PubLove @ the Steam Engine,"41-42 Cosser Street, London",51.4968274,-0.1126574
Purl London,"50-54 Blandford Street, London",51.518467,-0.154427
Quality Hotel London,"Empire Way, Wembley",51.5598399,-0.2835249
Queen Elizabeth,"95 Forest Side, London",51.6302603,0.0156712
Queen Of Hoxton,"1 Curtain Road, London",51.5221725,-0.0812749
Queen Victoria,"Coppice Row, Theydon Bois, Epping",51.672157,0.099448
Radisson Blu Edwardian Berkshire,"350 Oxford Street, London",51.514865,-0.148385
Radisson Blu Edwardian Grafton,"130 Tottenham Court Road, London",51.524188,-0.137919
Radisson Blu Edwardian Sussex,"19-25 Granville Place, London",51.5144381,-0.1558337
Radisson Blu Edwardian Kenilworth,"97 Great Russell Street, London",51.5178192,-0.128004
Radisson Blu Edwardian Vanderbilt,"68-86 Cromwell Road, London",51.4953691,-0.1818966
Railway Hotel - Flaming Grill,"390 Oldfield Lane North, Greenford",51.5431512,-0.345057
Red Cow Pub,"59 Sheen Road, Richmond",51.4616906,-0.2969401
Reflex,"66-68 The Parade, Watford",51.6581493,-0.4002572
Rehab Bar & Club,"83 The Parade, High Street, Watford",51.6579914,-0.4000126
Reids,"23 Hay Lane, London",51.588257,-0.2629896
Revolution,"4 Whittaker Avenue, Richmond",51.458852,-0.3071411
Rileys Sports Bar,"Town Centre, Cross Street, Harlow",51.7686722,0.0944032
Rocket Restaurant,"2 Churchill Place, London",51.5042601,-0.0147009
Rosso Restaurant,"1 The Broadway, Woodford Green",51.607516,0.0331009
Royal Garden Hotel,"2-24 Kensington High Street, London",51.502662,-0.188083
Ruby's Restaurant & Bar,"96A High Street, Southall",51.5105979,-0.371615
Rumba,"36 Shaftesbury Avenue, London",51.5111877,-0.1331743
Ruskin,"Ruskin Arms, 386 High St N, London",51.5449845,0.0498742
Rydges Kensington London,"61 Gloucester Road, London",51.495605,-0.182846
Sake no hana,"23 Saint James's Street, London",51.5066378,-0.1391767
Salsa!,"96 Charing Cross Road, London",51.5139961,-0.1293811
Salt Bar,"269 West End Lane, London",51.5505276,-0.1915855
Sambuca,113 Field End Road,51.5797808,-0.3993978
Sanctum Soho Hotel,"20 Warwick Street, London",51.5116235,-0.1383634
Shark,"Hobtoe Road, Harlow",51.7739213,0.0808172
Sheesh Restaurant,"High Road, Chigwell",51.6244494,0.080932
Simmons Bar | King's Cross,"32 Caledonian Road, London",51.5318554,-0.120592
Simpsons Tavern,"38 1/2, Ball Court Alley, Cornhill, London",51.5132106,-0.0860746
So Bar,"10 Brewers Lane, Richmond",51.4609525,-0.3051363
Sofitel London St James,"6 Waterloo Place, London",51.5076012,-0.132263
Southern Cross - Flaming Grill,"41-43 Langley Road, Watford",51.664567,-0.404237
Spotlight Disco,"64 Westfield, Harlow",51.7624858,0.106363
St. Margarets,"107 Saint Margarets Road, Twickenham",51.454784,-0.319337
STAGE 3,"291 Mare Street, London",51.5454544,-0.0555699
Star Lounge,"32 Railway Approach, Harrow",51.5902181,-0.3326585
Station House,"134-138 Station Road, London",51.6335986,0.0094635
Strawberry Moons,"15 Heddon Street, London",51.5108588,-0.1394886
Strongroom Bar & Kitchen,"120-124 Curtain Road, London",51.5259577,-0.0801095
Sun Inn,"Broadley Common, Nazeing",51.7398573,0.0547332
Sway Bar,"61-65 Great Queen Street, London",51.5156454,-0.1205317
Sync Bar,"1 Rickmansworth Road, Pinner",51.5978832,-0.3957887
T.G.I. Friday's,"Enfield Leisure Park, 200 Southbury Road, Enfield",51.650685,-0.0635
Tamingo - Arista Bar,"232 Church Lane, London",51.5732114,-0.2618315
The Albion,"94 Goldsmiths Row, London",51.5336844,-0.0644435
The Alma,"499 Old York Road, London",51.4607108,-0.1876696
The Anglesea Arms,"15 Selwood Terrace, London",51.49013,-0.176907
The Approach Tavern,"47 Approach Road, London",51.5313378,-0.0517103
The Athenaeum Hotel & Residences,"116 Piccadilly, London",51.504716,-0.1475618
The BaileyÉ??s Hotel London,"140 Gloucester Road, London",51.494017,-0.182584
The Bar With No Name,"69 Colebrooke Row, London",51.5365241,-0.1010578
The Barking Dog,"61 Station Parade, Barking",51.5397872,0.0814694
The Beacon Tree,"Green Lane, Dagenham, Greater London",51.5614209,0.1416368
The Black Lion,"293 High Street, Epping",51.7007378,0.113355
The Blue Boar,"Market Place, Abridge, London",51.650972,0.117874
The Boathouse,"32 Brewhouse Lane, London",51.4652741,-0.2127327
The Book Club,"100-106 Leonard Street, London",51.5245391,-0.0815041
The Botanist,"3-5 Kew Green, Richmond",51.4829529,-0.2870436
The Brewers Inn,"147 East Hill, London",51.4567004,-0.1894303
The Brewery Tap,"020 8568 6006, 47 Catherine Wheel Road, Brentford",51.48242,-0.306195
The Brickyard Bar & Grill,"222 South Street, Romford",51.5715121,0.1841151
The Bridge Hotel,"Western Avenue, Greenford, London",51.5365224,-0.3454407
The Bull,"Theydon Bois, Epping",51.6713947,0.1012182
The Castle,"31 Bosanquet Close, Uxbridge",51.5283966,-0.4759147
The Castle,"30 West Street, Harrow",51.572134,-0.339952
The Castle E17,"15 Grosvenor Rise East, London",51.5806837,-0.0112768
The Churchill Arms,"119 Kensington Church Street, London",51.50693,-0.194792
The Clerk and Well,"156 Clerkenwell Road, London",51.522148,-0.110684
The Continental Hotel,"29-31 Lampton Road, Hounslow",51.469544,-0.366264
The Coy Carp,"Fishery Cottages, Copper Mill Ln, Harefield, Uxbridge",51.6095645,-0.4991731
The Crooked Billet,"84 Upper Clapton Road, London",51.5622068,-0.0572694
The Crown,"High Road Cowley Peachey, Uxbridge",51.5308693,-0.4821288
The Crown,"Ealing Road, Northolt",51.5446784,-0.3705912
The Cuckfield,"31 High Street, London",51.5793261,0.0249154
The Cumberland - A Guoman Hotel,"Great Cumberland Place, London",51.5138631,-0.1587384
The Dalston Jazz Bar,"4 Bradbury Street, London",51.548686,-0.07635
The Dolphin,"47 Tonbridge Street, London",51.5290068,-0.1247288
The Dove,"19 Upper Mall, London",51.4905038,-0.234873
The Drayton Court hotel,"2 The Avenue, London",51.5142517,-0.3192896
The Duck in the Pond,"Kenton Lane, Harrow",51.6044317,-0.3273649
The Duke - E17,"112 Wood Street, London",51.588065,-0.004366
The Eagle,"215 Askew Road, London, Shepherd's Bush",51.5006091,-0.2393044
The Eagle,"2 Shepherdess Walk, London",51.5286095,-0.0916472
The Eagle,"103 Wick Road, London",51.5453337,-0.0414529
The Egerton House Hotel,"17-19 Egerton Terrace, London",51.4968261,-0.1675889
The Elbow Room,"503-505 High Road, London, Tottenham",51.5934653,-0.069795
The Elysian Restaurant,"11 Stanmore Hill, Stanmore",51.6180739,-0.3121389
The Finsbury,"336 Green Lanes, London",51.5719117,-0.0963704
The Fishermans Arms,"50 Old Oak Lane, Brent Park, London",51.529697,-0.2492473
The Flask,"14 Flask Walk, London",51.5565821,-0.1773395
The Forest Gate Inn,"111 Bell Common, Epping",51.6902012,0.0974577
The Fountain,"125 West Green Road, London",51.5850754,-0.0794577
The Fountain,152 Station Road,51.6337602,0.0098238
The Fox & Goose Hotel,"Hanger Lane, London",51.533212,-0.2956206
The Fox At Excel,"Warehouse K, ExCel Centre, 2 Western Gateway, London",51.5088007,0.025366
The Fox Craft Beer House,"372 Kingsland Road, London",51.5406852,-0.0762739
The Gardens,"188 Broadhurst Gardens, London",51.5465577,-0.1901226
The Gate,"Rickmansworth Road, Northwood",51.6151815,-0.4392254
The Gate,"Barnet Road, Arkley",51.6420552,-0.2424185
The George,"159 High Street, London",51.5759759,0.028247
The George and Dragon,"208 High Street, Epping",51.6995829,0.1122985
The Globe,"104 Windmill Road, Brentford",51.490552,-0.3097129
The Globe,"103 Talbot Road, London",51.5166729,-0.2004943
The Globe,"20 Morning Lane, London",51.5458912,-0.0537608
The Good Earth,"143-145 The Broadway, London",51.6167856,-0.2456098
The Grand At Trafalgar Square,"8 Northumberland Avenue, London",51.506969,-0.125992
The Great Western,"Dawley Road, Hayes",51.497337,-0.430508
The Green Man,"Village Road, Denham, Uxbridge",51.5731281,-0.4987951
The Green Man Hotel,"Dagmar Avenue, Wembley",51.557494,-0.2896678
The Greyhound Pub,"82 Kew Green, Richmond Upon Thames",51.4851949,-0.2861323
The Grill at The Dorchester,"53 Park Lane, London",51.5072728,-0.1522401
The Grosvenor Hotel,"101 Buckingham Palace Road, London",51.4956621,-0.1452281
The Gun,"27 Coldharbour, Docklands, London",51.501834,-0.00773
The Hand & Flower,"1 Hammersmith Road, London",51.495912,-0.2080809
The Holly Bush,"22 Holly Mount, London",51.5578684,-0.1793277
The Hollybush,"140 High Road, Loughton",51.6457333,0.0532248
The Horseshoes,"Horseshoe Hill, Waltham Abbey",51.6903943,0.0453117
The Jugged Hare,"49 Chiswell Street, London",51.5209403,-0.092217
The Junction,"9 Gayton Road, Harrow",51.5795515,-0.3324914
The King William Hotel,"155-157 Trafalgar Road, London",51.4848336,0.0032876
The Kings Head,"High Road, North Weald Bassett, Epping",51.7134689,0.1642452
The Ladbroke Arms,"54 Ladbroke Road, London",51.5090799,-0.2029265
The Lane,"82 Nightingale Lane, London",51.5811746,0.028408
The Lane Bar,"1220 Osborn Street, London",51.5166315,-0.0699003
The Lexington,"96-98 Pentonville Road, London",51.5317601,-0.1114281
The Lodge Tavern,"53 The Mall, London",51.5138076,-0.2995019
The Lord Stanley,"15 Saint Mary's Road, Newham, London",51.5314485,0.0266735
The Mad Hatter Hotel,"3-7 Stamford Street, London",51.5070217,-0.104919
The Malt House,"17 Vanston Place, London",51.4813144,-0.1981805
The May Fair,"Stratton Street, London",51.5081167,-0.1439504
The Millers Well,"419-421 Barking Road, London",51.533453,0.0563718
The Moon Under Water,"44 High Street, Watford",51.6564795,-0.3978284
The Nags Head,"9 Orford Rd, Walthamstow",51.5840276,-0.0112165
The Nightingale,"51 Nightingale Lane, London",51.5815968,0.0284726
The North London Tavern,"375 Kilburn High Road, London",51.5456062,-0.202451
The North Star,"43 The Broadway, Ealing Broadway, London",51.513833,-0.301882
The North Star,"24 Browning Road, London",51.5698169,0.0153645
The Old Orchard,"Park Lane, Harefield, Uxbridge",51.6027857,-0.4905277
The Old Ship,"2 Sylvester Path, London",51.5458477,-0.0554112
The Old Shoreditch Station,"1 Kingsland Road, London",51.5273267,-0.0782264
The Orange Tree,"45 Kew Road, Richmond",51.4642281,-0.3015346
The Owl,"Lippitts Hill, Waltham Abbey, Loughton",51.6543782,0.020177
The Owl & Pussycat,"34 Redchurch Street, London",51.524267,-0.075482
The Owl & The Pussycat,"106 Northfield Avenue, London",51.5029579,-0.3170237
The Parlour Bar,"The Park Pavilion, 40 Canada Square Park, London",51.5049942,-0.0188572
The Pilot,"56 Wellesley Road, London",51.490301,-0.2777127
The Plume of Feathers,"123 Church Hill, Loughton",51.6552577,0.0663733
The Poplar Kitten,"Tawneys Road, Harlow",51.7571144,0.1117805
The Pride Of Paddington,"1-3 Craven Road, London",51.51501,-0.1763536
The Prince Of Wales,"63 Green Lane, Ilford",51.5590849,0.085978
The Princess of Shoreditch,"76-78 Paul Street, London",51.5253889,-0.0837493
